,게임이름,링크,이미지,소개
57,나유타의 궤적: 아드 아스트라 (2022),https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012682,https://cdn.gamemeca.com/gmdb/g001/26/82/gm753661_jpgggggg.jpg,"2012년 PSP로 발매됐던 나유타의 궤적 아드아스트라는 시리즈 중에서도 액션 RPG 스타일을 향한 의욕을 담은 작품으로, 강화된 그래픽, 60fps, 고음질화 등 대폭 업그레이드 되어 닌텐도 스위치 패키지 판으로 돌아왔다."
58,템템,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012681,https://cdn.gamemeca.com/gmdb/g001/26/81/gm767519_sero.jpg,"스페인 개발사 크레마가 제작한 포켓몬 라이크 인디게임 템템은 부유 군도에서 몬스터를 수집하는 어드벤처 게임이다. 개발사가 포켓몬에서 영감을 받았다고 밝힌 만큼 많은 면에서 포켓몬스터 시리즈와 닮아있다. 플레이어는 템카드를 통해 템템이라 불리는 몬스터를 수집해, 관장이나 악당 벨소토단을 상대로 전투에서 이겨 세계 최고의 ‘테이머’가 되는 것이 주목표다. "
59,콜 오브 듀티: 모던 워페어 2 2022,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012680,https://cdn.gamemeca.com/gmdb/g001/26/80/gm558437_sero.jpg,2007년 작품 '콜 오브 듀티 4: 모던 워페어'를 리부트 한 작품 콜 오브 듀티: 모던 워페어의 후속작이다. 전편과 마찬가지고 현대전을 배경으로 펼쳐진다.
60,다함께 쿠키요미 온라인,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012679,https://cdn.gamemeca.com/gmdb/g001/26/79/gm177968_sero.jpg,"다함께 쿠키요미 온라인은 일본의 게임 개발사인 ‘지 모드(G Mode)’에서 개발한 신작으로, 주어진 상황을 파악하고 적절한 행동을 취해 얼마나 눈치가 있었는지 서로에게 투표를 하는 게임이다. 투표에서 많은 표를 얻은 사람이 이긴다."
61,팔월드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012678,https://cdn.gamemeca.com/gmdb/g001/26/78/gm792019_220622-13.jpg,"'팔월드'는 가상의 몬스터 ‘팔’이 등장하는 세계를 무대로 한 오픈월드 게임이다. 여러 몬스터를 모으는 수집 요소와 재료를 모아 원하는 장비, 건물 등을 만드는 크래프팅 생존 요소를 결합했다."
62,미르M: 뱅가드 앤 배가본드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012677,https://cdn.gamemeca.com/gmdb/g001/26/77/gm866164_12769234_20220530_135429.jpg,"'미르M: 뱅가드 앤 배가본드'는 그 미르의 전설 2, 더 나아가선 미르 IP의 시작을 현대적으로 재해석한 게임이다. 사실 지금까지 미르의 전설 2편을 복각한 게임은 많았지만, 이를 제대로 '리메이크'한 게임은 없었다는 것을 생각하면 감회가 남다르다. 시점이나 조작감은 물론, 게임성이나 액션도 최근의 MMORPG보다는 2000년대 초반 MMORPG 태동기의 문법이나 리듬을 거의 그대로 이어가고 있다"
63,조로: 더 크로니클즈,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012676,https://cdn.gamemeca.com/gmdb/g001/26/76/gm371189_sero.jpg,"조로: 더 크로니클즈는 2015년에 나온 동명의 프랑스 애니메이션을 원작으로, 모나스테리오를 상대로 자신의 마을을 지켜내려는 조로의 모습을 그려냈다. 액션 어드벤처 게임으로 주인공 조로와 여동생 이네스 중 선택해서 서로 다른 능력으로 플레이할 수 있다. 주로 검과 검은 채찍을 활용해 전투를 진행한다."
64,프로젝트 팔리아니치아,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012675,https://cdn.gamemeca.com/gmdb/g001/26/75/gm684300_SEREO.jpg,‘프로젝트 팔리아니치아’는 빅토리아 시대 배경으로 한 공포 게임이다. 러시아 침공을 겪은 프로그웨어가 에픽게임즈로부터 보조금을 받아 아일랜드로 이전한 후 공개하는 첫 신작이다. 
65,올드 월드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012674,https://cdn.gamemeca.com/gmdb/g001/26/74/gm778820_sero.jpg,"올드 월드는 시드 마이어의 문명 4 수석 디자이너였던 소렌 존슨(Soren Johnson)이 개발한 4X(Explore, Expand, Exploit, Exterminate) 기반 턴제 전략 게임으로 문명 시리즈와 크루세이더 킹즈 시리즈를 섞은 느낌을 준다. 플레이어는 고대 시대를 배경으로 한 무작위로 생성된 지도 위에서 역사에 등장하는 7명의 지도자 중 한 명으로 나서 승리해야 한다."
66,롤러 챔피언스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012673,https://cdn.gamemeca.com/gmdb/g001/26/73/gm316324_sero.jpg,"롤러 챔피언스는 영화 '알리타: 배틀 엔젤'에 등장하는 가상의 스포츠 '모터볼'과 비슷한 3 대 3 스포츠 게임이다. 모터볼을 소유한 뒤 서킷을 달려야 하고, 소유한 공을 상대방 골대에 골인시켜야 득점할 수 있다. 먼저 5점을 얻는 팀이 승리한다."
67,스피릿티,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012672,https://cdn.gamemeca.com/gmdb/g001/26/72/gm244114_220519-risell-uu4.jpg,"스피릿티는 성난 영혼을 달래주는 온천을 경영하며 마을 사람들과 교류하는 과정을 다룬 경영 시뮬레이션 게임이다. 책을 쓰기 위해 복잡한 도시를 떠나 한적한 시골 마을로 이사온 주인공이 정체 모를 차를 마신 후 영적인 존재를 볼 수 있는 능력을 얻었고, 이를 토대로 마을에서 난동을 부리고 있는 영혼들을 달래줄 온천을 운영하는 과정을 다룬다."
68,타워 오브 판타지,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012671,https://cdn.gamemeca.com/gmdb/g001/26/71/gm786425_466x606.jpg,'타워 오브 판타지'는 퍼펙트월드 게임즈(Perfect World Games) 산하 Hotta Studio에서 자체 개발한 S-Fantasy 오픈월드 RPG다. 
69,훅드 온 유: 데드 바이 데이라이트 데이팅 심,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012670,https://cdn.gamemeca.com/gmdb/g001/26/70/gm670107_220622-21.jpg,"'훅드 온 유'는 플레이어가 미지의 섬에서 데드 바이 데이라이트의 살인마들과 연애를 펼치는 내용을 담은 게임이다. 남성 살인마인 트래퍼와 레이스, 여성 캐릭터 헌트리스와 스피릿 등이 등장하며, 타는 햇볕과 푸른 바다가 펼쳐진 해변에서 그들을 꼬셔야 한다. 줄거리를 진행하는 과정에서 일련의 미니게임이 마련돼 있으며, 보물도 찾고, 고기도 구워가며 연애를 즐기면 된다."
70,이블 데드: 더 게임,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012669,https://cdn.gamemeca.com/gmdb/g001/26/69/gm419403_220518-risell-yy10.jpg,"이블 데드: 더 게임은 이블 데드 시리즈를 기반으로 한 생존 게임이다. 영화 및 TV 시리즈 주역들이 등장하며, 4명이 힘을 합쳐 진행하는 협동플레이 콘텐츠와 멀티플레이 PvP를 지원한다."
71,데이브 더 다이버,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012668,https://cdn.gamemeca.com/gmdb/g001/26/68/gm850744_220624-1.jpg,‘데이브’는 생태와 지형이 변하는 신비한 블루홀을 탐험하며 동료들과 블루홀에 숨겨진 수수께끼를 풀어나간다.
72,하이프스쿼드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012667,https://cdn.gamemeca.com/gmdb/g001/26/67/gm544774_220516-risell-yy2.jpg,"하이프스쿼드는 미래 도심에서 펼쳐지는 실시간 배틀로얄 게임으로, 스팀을 통해 출시된다. 3인 혹은 솔로로 즐길 수 있는 생존 모드와 3인 팀으로 진행되는 점령 모드를 지원한다. 생존 모드는 점점 좁아지는 필드를 피해 최종 우승자를 가리고, 점령 모드는 점령지 확보를 두고 다툰다."
73,M(가제),https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012666,https://cdn.gamemeca.com/gmdb/g001/26/66/gm577379_220514-risell-ii5.jpg,"‘M'은 파타 모르가나의 저택을 만든 일본 인디게임 개발사 노벡트의 추리 어드벤처 게임이다. 현대 일본 도쿄 변두리를 배경으로, 탐정과 살인귀, 두 가지 시점으로 연쇄살인사건을 추적하는 과정을 다룬다. 플레이 역시 크게 탐정 파트와 살인 파트로 구분되며, 두 가지를 번갈아 가며 비밀을 파헤친다"
74,카드 샤크,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012665,https://cdn.gamemeca.com/gmdb/g001/26/65/gm130891_sero.jpg,레인즈를 제작한 네리얼의 신작 카드 샤크는 18세기 프랑스를 배경으로 벌어지는 도박판에서의 타짜가 되어보는 게임이다. 플레이어는 어느 날 생제르망 백작으로부터 도박판에서 상대방을 속이자는 제안을 받고 도우미 역할을 하게 된다. 이 과정에서 발생한 일련의 사건으로 생제르망 백작과 동행하게 되고 본격적으로 도박판에 뛰어들게 된다.
75,송 오브 컨퀘스트,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012664,https://cdn.gamemeca.com/gmdb/g001/26/64/gm372978_220512-risell-yy3.jpg,"송 오브 컨퀘스트는 판타지 세계관을 기반으로 한 이 게임은 왕국 건설을 모토로 앞세운 턴제 전략 게임이다. 여러 맵을 탐험하며 자원과 전리품을 확보하고, 이를 기반으로 왕국을 세우고 발전시키며 강력한 군대를 구축할 수 있다. 이렇게 마련한 군대로 전쟁에 출전하는 것이다. 전투는 턴제로 진행되며 유닛, 마법 조합과 함께 고저차 등 지형지물을 활용한 전술을 펴는 것도 가능하다."
76,위 워 히어 포레버,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012663,https://cdn.gamemeca.com/gmdb/g001/26/63/gm249370_127692347453.jpg,"위 워 히어 포레버는 방탈출을 테마로 한 2인 협동 게임 시리즈 4번째 작품이다. 이번 작품은 무전기를 통한 음성 소통이 꽤 중요한데, 음성 채팅으로 커뮤니케이션을 잘 할 수 있도록 친구, 혹은 최소한 같은 언어권 유저와 플레이 하는 것은 필수다. 다행히 게임 자체적으로 한국어 자막을 지원하기도 하고, 디스코드 등에서 함께 할 사람을 구할 수도 있고, 스팀 리모트 플레이 투게더를 통해 친구를 초대해 즐길 수도 있으니 플레이에는 큰 진입장벽이 없을 것이다. 말이 통한다고 게임을 잘 할 수 있다는 보장은 없지만 말이다"
77,머로더스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012662,https://cdn.gamemeca.com/gmdb/g001/26/62/gm277613_220511-risell-qq3.jpg,"머로더스는 1990년대 디젤펑크 세계관을 기반으로 한 FPS다. 머로더스라고 알려진 우주 용병이 되어 소행성을 습격해 전리품을 획득하며 캐릭터를 육성하고, 우주선을 약탈하거나 제작하여 우주를 여행할 수 있다. 1인 혹은 최대 3명이 함께 하는 온라인 협동 플레이를 지원한다."
78,로키(Loki),https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012661,https://cdn.gamemeca.com/gmdb/g001/26/61/gm211370_220628-5.jpg,'로키'는 AOS 장르를 기반으로 한 팀 PvP 게임이다. 자세한 정보는 추후 공개될 예정이다.
79,원더킹 Ver3,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012660,https://cdn.gamemeca.com/gmdb/g001/26/60/gm234059_22009-risell-uu9.jpg,"원더킹 Ver3은 2008년에 출시된 PC온라인게임 원더킹을 리부트한 게임이다. 원작 게임성을 계승하는 동시에 기존에 없던 자동 퀘스트 진행, 신규 콘텐츠 등을 선보인다. "
80,"워해머 40,000: 카오스 게이트 - 데몬헌터즈",https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012659,https://cdn.gamemeca.com/gmdb/g001/26/59/gm156003_SERO.jpg,"워해머 40K: 카오스 게이트는 워해머 세계관을 소재로 한 1998년 ‘워해머 40,000: 카오스 게이트’를 리부트한 작품으로, 유명 전략 게임 엑스컴 시리즈와 비슷한 턴제 RPG다. 플레이어는 그레이 나이츠 군대를 전두지휘해 카오스 세력과 맞서며, 주변환경을 활용하거나 정밀타격 시스템, 치명적인 공격을 가할 수 있는 근거리 전투 등으로 다양하게 전략을 짤 수 있다"
81,퍼펙트 아레나,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012658,https://cdn.gamemeca.com/gmdb/g001/26/58/gm806915_sero.jpg,킹콩소프트가 내놓은 신작 ‘퍼펙트 아레나’는 판타지를 배경으로 원하는 영웅들을 뽑아 상황에 맞는 다양한 조합으로 모험은 물론 유저들과 전투를 진행할 수 있는 방치형 수집 RPG다. 기종 간 크로스 플레이까지 지원해 편의성까지 더했다
82,오프 더 그리드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012657,https://cdn.gamemeca.com/gmdb/g001/26/57/gm485615_220506-risell-yy8.jpg,오프 더 그리드는 기업전쟁이 펼쳐지는 디스토피아 열대섬을 무대로 하며 사이버펑크적인 요소도 가미된다. 이곳에서 플레이어는 원하는 진영을 선택해 스토리를 전개해나갈 수 있다. 제작진이 기존 배틀로얄과 가장 큰 차이점으로 앞세운 부분은 스토리텔링이다. 스토리라인을 기반으로 한 미션을 수행하는 PvE 콘텐츠가 제공되며 이를 통해 스토리를 원하는 방향으로 전개할 수 있다
83,파피 플레이타임,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012656,https://cdn.gamemeca.com/gmdb/g001/26/56/gm720761_SERO.jpg,"파피 플레이타임은 1인칭 공포게임으로 10년 전 문을 닫은 플레이타임 장난감 공장의 전 직원인 주인공이 인형 ‘파피’의 비밀을 파헤치는 이야기를 다뤘다. ‘그랩팩’을 활용하는 독특한 퍼즐 기믹과 함께 추격신으로부터 오는 직관적인 공포가 특징이다. 본편은 허기 워기가, 챕터 2는 마미 롱 레그가 주인공을 공포에 몰아넣는다. "
84,티메시아,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012654,https://cdn.gamemeca.com/gmdb/g001/26/54/gm806783_220503-risell-oo4.jpg,"‘티메시아’는 소울라이크를 표방한 액션 RPG다. 한때 연금술의 힘으로 번영했으나 역병이 펴지며 한 순간에 혼란에 빠진 왕국을 배경으로, 모든 진실을 알고 있으나 현재는 기억을 잃어버린 주인공 코버스의 여정을 다룬다. 모험을 통해 기억을 되찾을 수 있으며 선택지와 플레이 중 수집한 아이템에 따라 결말이 달라진다."
85,스나이퍼 엘리트 5,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012653,https://cdn.gamemeca.com/gmdb/g001/26/53/gm879944_220502-1.jpg,"'스나이퍼 엘리트 5'는 타이틀은 2차 세계대전이 발발한 1944년 프랑스를 배경으로, 나치가 추진하는 비밀 프로젝트 ‘오퍼레이션 크레켄’에 대해 파헤치는 저격수의 여정을 다룬다. "
86,킹 아서: 나이트 테일,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012652,https://cdn.gamemeca.com/gmdb/g001/26/52/gm889542_sero.jpg,"킹 아서: 나이트 테일은 아서왕의 전설을 어두운 중세 고딕 판타지로 재해석한 작품으로 여타 게임과 다르게 아서왕이 주인공이 아닌 흑기사이자 물리쳐야 하는 적으로 나온다. 턴제 RPG에 다키스트 던전과 비슷한 용병 시스템을 더했다. 플레이어는 아발론을 배경으로 아서왕의 숙적인 모드레드 경으로 게임에 나서는데, 6가지 클래스 중에서 함께 할 원탁의 기사를 골라 팀을 꾸린 뒤 흑기사 아서왕을 무찔러야 한다."
87,그녀의 세계,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012651,https://cdn.gamemeca.com/gmdb/g001/26/51/gm883055_220704-1.jpg,"'그녀의 세계'의 주요 히로인은 3명이며, 지금까지의 테일즈샵 작품들의 히로인과 비교하면 좀 더 소녀 같은 모습을 하고 있다. 스토리는 전작 ‘러브 플루트’보다 2.5~3배 정도 많은 시나리오 분량을 가졌다. 자세한 정보는 추후 공개될 예정이다."
88,로그 레거시 2,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012650,https://cdn.gamemeca.com/gmdb/g001/26/50/gm848935_220429-risell-yy3.jpg,"로그 레거시 2는 전작처럼 캐릭터들이 대를 이어가며 진행하는 로그라이트 게임이다. 부모로부터 물려받은 유산으로 가문의 영지를 키우고, 캐릭터가 사망하면 그 자손이 대를 이어간다. 다음에 태어날 자손이 최대한 유리하게 플레이를 진행할 수 있도록 판을 깔아주는 것이 중요 과제로 자리한다. 아울러 새로 태어나는 자식들은 저마다 독특한 특성과 능력을 지니고 있어 매번 다른 플레이를 경험할 수 있다."
89,디즈니 드림라이트 밸리,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012649,https://cdn.gamemeca.com/gmdb/g001/26/49/gm357957_220428-risell-oo12.jpg,"디즈니 드림라이트 밸리는 한때 절경을 자랑했으나 지금은 황량하고, 가시로 가득한 세계 ‘드람라이트 밸리’를 복원하는 과정을 다룬다. 고전 디즈니와 픽사에서 영감을 받은 여러 세계를 탐험하고, 그 과정에서 겨울왕국, 인어공주, 모아나, 토이스토리, 월-E 등 여러 작품에 등장한 캐릭터들과 만나 우정을 쌓을 수 있다."
90,스탠리 페러블: 울트라 디럭스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012648,https://cdn.gamemeca.com/gmdb/g001/26/48/gm448115_220428-risell-oo8.jpg,"스탠리 패러블: 울트라 디럭스는 2013년에 출시된 스탠리 패러블 확장판으로, 기존 콘텐츠와 함께 새로운 엔딩, 선택지, 힌트 등이 포함된다. 거대 빌딩에서 근무하는 427번 직원 ‘스텐리’가 되어 갑자기 업무가 마비되어버린 회사를 탐색하는 과정을 다룬다."
91,트롤리 프러블럼 주식회사,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012647,https://cdn.gamemeca.com/gmdb/g001/26/47/gm758951_220427-risell-tt7.jpg,트롤리 프러블럼 주식회사는 도덕적인 잣대를 소재로 한 내러티브 중심 게임이다. 게임을 플레이하며 주어지는 난제와 두 가지 답변 중 하나를 계속 선택해나가는 과정을 통해 게임 내 수백 만에 달하는 사람들의 운명이 결정된다. 게임을 마치면 다른 플레이어와 선택 과정을 비교해볼 수 있다.
92,골프 갱,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012646,https://cdn.gamemeca.com/gmdb/g001/26/46/gm579911_220427-risell-tt5.jpg,"골프 갱은 미니골프를 소재로 한 파티게임이다. 통상적인 골프 규칙 등으로 겨루는 온라인 대전을 지원하며, 원하는 코스를 만들어서 플레이할 수 있다. 아울러 골프공 등을 꾸밀 수 있는 커스터마이징도 가능하다."
93,디아블로 이모탈,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012645,https://cdn.gamemeca.com/gmdb/g001/26/45/gm983037_220427-risell-tt3.jpg,"디아블로 이모탈은 디아블로 IP를 기반으로 한 모바일 MMORPG다. 디아블로 2편과 3편 사이 이야기를 다루며, 야만용사, 성전사, 악마사냥꾼, 수도사, 강령술사, 마법사 중 하나를 선택해 8개 지역과 대도시 서부원정지를 탐험한다."
94,듄: 스파이스 워,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012644,https://cdn.gamemeca.com/gmdb/g001/26/44/gm387757_sero.jpg,"듄: 스파이스 워는 동명의 소설 듄을 원작으로 세계를 탐험, 확장, 개발에 이어 다른 세력을 몰살시키는 4X(Explore, Expand, Exploit, Exterminate)를 기반으로 이뤄진 실시간 전략게임이다. 플레이어는 명예로운 ‘아트레이데스’, 잔인한 ‘하르코넨’, 기회주의적인 ‘밀수꾼’, 생존주의자 ‘프레멘’ 중 세력을 선택해 사막 행성이자 듄이라고 불리는 아라키스를 탐험하면서 자원을 확보하고 개발함과 동시에 다른 세력을 격멸하면서 정복을 이어 나가야 한다."
95,아웃 오브 더 파크 베이스볼 23,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012643,https://cdn.gamemeca.com/gmdb/g001/26/43/gm927650_220704-9.jpg,"'아웃 오브 더 파크 베이스볼 23'은 커스터마이징 시스템이 추가돼 선수들이 착용한 장비들의 디자인 옵션을 변경하고 대체할 수 있는 유니폼을 만들거나, 게임 플레이 방식을 새롭게 설정하는 등 자신만의 야구 세계를 경험할 수 있다. 새로운 튜토리얼 시스템, 신규 옵션이 도입돼 편의성도 대폭 개선됐다."
96,테어다운,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012642,https://cdn.gamemeca.com/gmdb/g001/26/42/gm546010_sero.jpg,"테어다운은 자유자재로 건축물을 지은 뒤, 다양한 방법으로 파괴하는 샌드박스 시뮬레이션 게임이다. 복셀 기반 그래픽으로 마인 크래프트의 치즐 모드처럼 원하는 바를 구체적으로 만들어내는 게 가능하며, 파괴되는 액션도 블록 하나하나 흩어지면서 날라가는 것이 실제로 건물을 부수는 듯한 느낌을 준다. 샌드박스 모드, 싱글 캠페인, 창작 모드를 제공한다."
97,소닉 오리진스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012641,https://cdn.gamemeca.com/gmdb/g001/26/41/gm996408_seroim.jpg,"소닉 오리진스는 소닉 시리즈 출발점인 소닉 더 헤지혹, 소닉 더 헤지혹 2, 소닉 더 헤지혹 CD, 소닉 더 헤지혹 3 & 너클즈 등 네 작품의 그래픽을 개선한 리마스터 작품이다. 여기에 애니버서리, 클래식, 스토리, 미러링, 보스 러시 등 다양한 모드와 함게 뮤지엄, 컬렉션, 랭킹 시스템 등이 추가됐다."
98,닌텐도 스위치 스포츠,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012640,https://cdn.gamemeca.com/gmdb/g001/26/40/gm724641_seroo.jpg,"닌텐도 스위치 스포츠는 단일 플랫폼, 단일 타이틀로 세상에서 가장 많이 팔린 게임인 닌텐도 Wii 스포츠 후속작이다. 조작기기인 조이콘을 사용해 실제 스포츠를 하는 것처러 팔을 움직여 플레이한다. 검술, 볼링, 테니스, 배구, 배드민턴, 축구 총 6가지 종목이 있으며, 추후 골프도 추가 될 예정이다. 시리즈 최초 온라인 플레이를 지원하며, 랭킹 시스템인 프로 리그도 있다"
99,에어크래프트 캐리어 서바이벌,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012639,https://cdn.gamemeca.com/gmdb/g001/26/39/gm986845_220704-13.jpg,"'에어크래프트 캐리어 서바이벌'은 항공모함을 운용하는 것에 초점을 둔 전략 시뮬레이션 게임이다. 시대적 배경은 제2차 세계 대전으로, 플레이어는 항공모함 내 모든 요소들을 하나하나 관리하고 함대를 전장에 투입해야 한다. 갑판과 격납고, 정비실과 대기실, 엔진실 등 항공 모함의 내부 구조부터 작동 방식까지 완벽하게 구현돼 있으며, 장교와 수병, 비행사 정비사 등 병력을 정확한 구역에 배치하는 것이 중요하다. "
100,더 아이언 오쓰,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012638,https://cdn.gamemeca.com/gmdb/g001/26/38/gm493706_sero.jpg,"미국 인디게임사 큐리어스 판다 게임이 제작한 턴제 RPG 더 아이언 오쓰는 용병을 모은 뒤 이를 운용해 고대용이 출몰하는 중세 판타지 세계를 탐험하는 게임이다. 턴제 형식과 함께 헥스맵을 기반으로 전투가 이뤄지며, 모집한 용병은 고유한 배경 스토리를 통해 더욱 강력하게 성장시킬 수 있다 "
101,귀곡팔황,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012637,https://cdn.gamemeca.com/gmdb/g001/26/37/gm979018_220420-risell-ii6.jpg,"귀곡팔황은 신선이 되는 것을 목표로 한 선협을 소재로 앞세운 RPG다. 중국 신화를 기반으로 한 스토리와 플레이어 선택에 따라 달라지는 스토리, 탄막 슈팅 방식 전투와 종파를 관리하는 경영 요소를 결합했다."
